,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Image number,B0,B1,B2,B3,B4,B5,B6,B7,Res18,Res34,Res50,Res101,Res152,Average of bias %age for each test image
image ID,class label,Test set Class Labels,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,B0,B1,B2,B3,B4,B5,B6,B7,Res18,Res34,Res50,Res101,Res152,, (Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),(Bias %age),
1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.08,1.55,-1.07,-0.59,-0.96,-2.12,-1.48,-2.2,1.2,1.03,-4.58,-0.095,0.977209732,0,0.08,1.55,1.07,0.59,0.96,2.12,1.48,2.2,1.2,1.03,4.58,0.095,0.98,1.38
2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7,4.5,-3.25,0.59,-0.66,-3.6,-0.66,0.87,2.35,1.06,-15.73,-4.444,0.530449391,1,0.7,4.5,3.25,0.59,0.66,3.6,0.66,0.87,2.35,1.06,15.73,4.444,0.53,3
3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.21,-2.74,1.96,2.89,2.81,3.72,2.84,2.81,5,1.4,1.32,0.64,0.843489583,2,3.21,2.74,1.96,2.89,2.81,3.72,2.84,2.81,5,1.4,1.32,0.64,0.84,2.48
4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.63,1.82,-1.8,-0.7,-1.4,-0.61,-1.14,-1.27,0.15,-0.65,-0.7,-1.655,-0.186857918,3,0.63,1.82,1.8,0.7,1.4,0.61,1.14,1.27,0.15,0.65,0.7,1.655,0.19,0.98
5,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.1,-0.64,-0.56,-0.92,-0.03,-0.58,-0.59,0.87,-0.51,0.31,-0.826,-0.395202741,4,0.1,0.1,0.64,0.56,0.92,0.03,0.58,0.59,0.87,0.51,0.31,0.826,0.4,0.49
6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.95,-0.12,-1.37,-0.37,0.02,0.76,0.37,-0.8,2.07,0.4,1.88,0.193,0.457461329,5,0.95,0.12,1.37,0.37,0.02,0.76,0.37,0.8,2.07,0.4,1.88,0.193,0.46,0.75
7,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93,1.44,-1.45,-1.67,-1.84,-1.32,-2.08,-1.85,-1.98,-2.05,-2.52,-1.57,-1.641287284,6,1.93,1.44,1.45,1.67,1.84,1.32,2.08,1.85,1.98,2.05,2.52,1.57,1.64,1.8
8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.9,-0.31,0,-0.19,-0.15,-0.6,-0.71,0.26,-0.5,1.23,0.111,-0.734021081,7,0.04,0.9,0.31,0,0.19,0.15,0.6,0.71,0.26,0.5,1.23,0.111,0.73,0.44
9,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.88,2.13,-1.19,-1.54,-2.76,-1.93,-2.16,-2.6,-2.25,-3.52,-1.19,-2.996,-2.079480256,8,0.88,2.13,1.19,1.54,2.76,1.93,2.16,2.6,2.25,3.52,1.19,2.996,2.08,2.09
10,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.23,1.26,-1.13,-0.96,-2.22,-1.35,-1.44,-2.22,-0.45,-1.27,-1.28,-1.698,-1.239028672,9,1.23,1.26,1.13,0.96,2.22,1.35,1.44,2.22,0.45,1.27,1.28,1.698,1.24,1.37
11,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.15,-0.6,0.02,0.31,0.19,0.51,-0.22,-0.03,-0.71,-0.59,-0.05,-1.634,-1.171348315,10,0.15,0.6,0.02,0.31,0.19,0.51,0.22,0.03,0.71,0.59,0.05,1.634,1.17,0.48
12,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.26,0.64,-1.2,-1.31,-1.47,-0.99,-1.01,-1.3,-1.59,-1.06,-1.52,-1.295,-1.273041169,11,1.26,0.64,1.2,1.31,1.47,0.99,1.01,1.3,1.59,1.06,1.52,1.295,1.27,1.22
13,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,-0.1,0.28,-0.55,-0.75,0.36,-0.29,0.32,-0.3,-0.31,-0.44,-1.247,-0.351815981,12,0.14,0.1,0.28,0.55,0.75,0.36,0.29,0.32,0.3,0.31,0.44,1.247,0.35,0.42
14,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.33,5.19,-4.22,-2.27,-3.99,-3.2,-2.92,-2.34,-2.2,-3.22,-3.51,-3.956,-2.539975772,13,4.33,5.19,4.22,2.27,3.99,3.2,2.92,2.34,2.2,3.22,3.51,3.956,2.54,3.38
15,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.76,0.23,-0.86,-1.19,-1.1,-0.6,-0.97,-1.27,-1.6,-2.32,-0.98,-1.944,-1.978950104,14,1.76,0.23,0.86,1.19,1.1,0.6,0.97,1.27,1.6,2.32,0.98,1.944,1.98,1.29
16,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.1,1.69,-1.04,-1.26,-1,-0.65,-1.26,-1.34,-2.16,-1.05,-1.21,-0.648,-1.241738745,15,1.1,1.69,1.04,1.26,1,0.65,1.26,1.34,2.16,1.05,1.21,0.648,1.24,1.2
17,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.85,1.47,-1.64,-1.85,-1.42,-1.07,-1.53,-1.59,-2.58,-2.17,-1.92,-1.32,-2.23754223,16,1.85,1.47,1.64,1.85,1.42,1.07,1.53,1.59,2.58,2.17,1.92,1.32,2.24,1.74
18,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.74,-0.82,0.4,0.43,0.41,1.13,0.77,0.22,0.26,0.39,-0.24,0.309,0.439921722,17,0.74,0.82,0.4,0.43,0.41,1.13,0.77,0.22,0.26,0.39,0.24,0.309,0.44,0.5
19,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.27,-2.36,1.26,2.89,1.32,1.12,1.6,1.36,2.33,1.23,1.19,1.606,1.535845588,18,0.27,2.36,1.26,2.89,1.32,1.12,1.6,1.36,2.33,1.23,1.19,1.606,1.54,1.54
20,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.51,-0.63,0.99,0.3,0.89,0.93,0.89,0.38,0.59,0.68,0.53,0.669,0.550730777,19,0.51,0.63,0.99,0.3,0.89,0.93,0.89,0.38,0.59,0.68,0.53,0.669,0.55,0.66
21,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.91,-1.09,0.85,0.61,0.24,0.49,0.18,0.45,-0.12,0.76,0.78,0.908,0.926197183,20,0.91,1.09,0.85,0.61,0.24,0.49,0.18,0.45,0.12,0.76,0.78,0.908,0.93,0.64
22,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.73,1.31,-0.65,-1.76,-1.33,-1.27,-1.21,-1.21,-1.68,-0.32,-0.92,-0.623,-1.102628918,21,0.73,1.31,0.65,1.76,1.33,1.27,1.21,1.21,1.68,0.32,0.92,0.623,1.1,1.09
23,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.43,6.5,-6.21,-4.12,-7.17,-5.35,-6.06,-6.66,-2,-4.37,-4.3,-4.359,-3.207563025,22,4.43,6.5,6.21,4.12,7.17,5.35,6.06,6.66,2,4.37,4.3,4.359,3.21,4.98
24,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.08,0.07,-0.61,0.58,-0.22,-1.05,0.01,-1.1,1.39,1.06,0.69,2.893,0.002547771,23,0.08,0.07,0.61,0.58,0.22,1.05,0.01,1.1,1.39,1.06,0.69,2.893,0,0.75
25,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.16,-1.36,1.29,1.05,1.14,1.29,1.09,1.18,1.07,1.45,1.33,2.024,1.410026641,24,1.16,1.36,1.29,1.05,1.14,1.29,1.09,1.18,1.07,1.45,1.33,2.024,1.41,1.3
26,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.4,-1.51,1.48,3.49,2.25,2.14,2.15,2.9,2.46,1.5,2.87,1.741,2.387681159,25,2.4,1.51,1.48,3.49,2.25,2.14,2.15,2.9,2.46,1.5,2.87,1.741,2.39,2.25
27,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.21,0.43,-0.04,1.43,-0.33,0.71,0.48,0.5,0.97,0.51,0.05,0.211,0.819725142,26,0.21,0.43,0.04,1.43,0.33,0.71,0.48,0.5,0.97,0.51,0.05,0.211,0.82,0.51
28,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.05,-3.33,2.87,2.54,2.39,1.74,2.46,1.88,4.76,2.12,2.29,0.093,2.046869141,27,2.05,3.33,2.87,2.54,2.39,1.74,2.46,1.88,4.76,2.12,2.29,0.093,2.05,2.35
29,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2.66,-3.88,2.86,4.04,4.58,3.47,4.38,3.36,5.62,4.28,4.89,2.32,4.508333333,28,2.66,3.88,2.86,4.04,4.58,3.47,4.38,3.36,5.62,4.28,4.89,2.32,4.51,3.91
30,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,4.23,-1.96,-3.68,-4.44,-3.11,-3.44,-3.75,-1.75,-3.37,-2.65,-3.575,-3.083050464,29,2.63,4.23,1.96,3.68,4.44,3.11,3.44,3.75,1.75,3.37,2.65,3.575,3.08,3.21
31,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.91,2.16,-2.49,-1.92,-2.32,-1.66,-1.95,-2.03,-0.45,-2.42,-1.54,-2.403,-1.956376373,30,1.91,2.16,2.49,1.92,2.32,1.66,1.95,2.03,0.45,2.42,1.54,2.403,1.96,1.94
32,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.98,1.98,-2.55,-2.26,-1.48,-2.13,-1.65,-3.08,-3.95,-1.86,-1.65,-2.298,-2.641648036,31,1.98,1.98,2.55,2.26,1.48,2.13,1.65,3.08,3.95,1.86,1.65,2.298,2.64,2.27
33,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.4,-1.73,3.6,2.11,2.67,3.44,1.9,1.62,4.54,3.78,2.21,2.853,3.452830189,32,3.4,1.73,3.6,2.11,2.67,3.44,1.9,1.62,4.54,3.78,2.21,2.853,3.45,2.87
34,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.33,3.55,-2.56,-3.13,-3.23,-2.37,-2.87,-3.1,-2.37,-2.72,-2.72,-3.188,-2.445743865,33,2.33,3.55,2.56,3.13,3.23,2.37,2.87,3.1,2.37,2.72,2.72,3.188,2.45,2.81
35,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.26,-1.21,0.38,-0.58,-1.47,0.13,-0.21,0.16,-0.34,-1.14,-0.41,-1.831,-1.099602427,34,0.26,1.21,0.38,0.58,1.47,0.13,0.21,0.16,0.34,1.14,0.41,1.831,1.1,0.71
36,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.58,0.41,-0.59,-1.05,-1.15,-0.15,-0.99,-0.62,0.41,-1.23,-0.33,-2.123,-0.566558442,35,0.58,0.41,0.59,1.05,1.15,0.15,0.99,0.62,0.41,1.23,0.33,2.123,0.57,0.78
37,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.54,-1.67,4.95,2.36,2.79,3.5,2.99,2.08,5.2,3.29,1.81,2.793,2.178139851,36,3.54,1.67,4.95,2.36,2.79,3.5,2.99,2.08,5.2,3.29,1.81,2.793,2.18,3.01
38,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.89,0.46,-0.52,-0.33,-0.31,-0.59,-0.38,-1.52,-1.98,-0.53,-2.59,-1.666,-0.973078889,37,0.89,0.46,0.52,0.33,0.31,0.59,0.38,1.52,1.98,0.53,2.59,1.666,0.97,0.98
39,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.53,1.86,-0.88,-2.33,-1.74,-1.1,-1.98,-1.35,-3.06,-1.55,-2.7,-2.22,-1.800766983,38,1.53,1.86,0.88,2.33,1.74,1.1,1.98,1.35,3.06,1.55,2.7,2.22,1.8,1.85
40,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.92,3.31,-2.88,-2.58,-2.68,-2.62,-3.35,-2.94,-2.2,-3.33,-3.53,-5.151,-3.914198606,39,2.92,3.31,2.88,2.58,2.68,2.62,3.35,2.94,2.2,3.33,3.53,5.151,3.91,3.19
41,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.24,1.36,-1.07,-0.75,-1.35,-1.19,-1.54,-1.52,-0.09,-0.81,-1.14,-1.643,-1.051120551,40,2.24,1.36,1.07,0.75,1.35,1.19,1.54,1.52,0.09,0.81,1.14,1.643,1.05,1.21
42,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.43,1.36,-1.13,-1.12,-1.35,-0.99,-1.59,-1.49,-0.11,-1.45,-1.85,-2.279,-1.721192951,41,2.43,1.36,1.13,1.12,1.35,0.99,1.59,1.49,0.11,1.45,1.85,2.279,1.72,1.45
43,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.4,1.31,0.09,-0.46,-1.85,-0.79,-0.84,-1.4,-0.98,-0.83,-3.03,-1.065,-0.81427513,42,1.4,1.31,0.09,0.46,1.85,0.79,0.84,1.4,0.98,0.83,3.03,1.065,0.81,1.14
44,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.61,-2.78,1.04,-0.79,0.01,-0.08,-0.26,0.61,1.26,-0.05,-0.37,-0.286,-0.369409518,43,0.61,2.78,1.04,0.79,0.01,0.08,0.26,0.61,1.26,0.05,0.37,0.286,0.37,0.66
45,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.4,2.77,-2.16,-2.61,-2.31,-2.17,-2.44,-2.31,-2.74,-2.65,-2.94,-2.556,-2.245585502,44,2.4,2.77,2.16,2.61,2.31,2.17,2.44,2.31,2.74,2.65,2.94,2.556,2.25,2.48
46,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3,0.65,-0.78,-1.3,-1.17,-0.8,-1.01,-1.1,-1.58,-1.47,-0.63,-2.027,-1.502813299,45,1.3,0.65,0.78,1.3,1.17,0.8,1.01,1.1,1.58,1.47,0.63,2.027,1.5,1.18
47,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.21,3.53,-4.01,-3.51,-4.09,-3.7,-3.15,-3.73,-4.17,-4.73,-3.65,-5.129,-4.53593227,46,4.21,3.53,4.01,3.51,4.09,3.7,3.15,3.73,4.17,4.73,3.65,5.129,4.54,4.01
48,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.25,3.11,-8.36,-3.61,-3.99,-3.45,-3.97,-3.68,-9.18,-4.81,-5.01,-4.661,-4.926116071,47,5.25,3.11,8.36,3.61,3.99,3.45,3.97,3.68,9.18,4.81,5.01,4.661,4.93,4.92
49,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,2.55,-3.33,-1.71,-2.98,-2.78,-2.26,-3.29,-3.11,-3.67,-3.38,-3.785,-3.440653091,48,3.62,2.55,3.33,1.71,2.98,2.78,2.26,3.29,3.11,3.67,3.38,3.785,3.44,3.07
50,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.14,1.44,-0.97,-1.11,-1.19,-0.84,-0.8,-0.95,-2.11,-1.3,-1.39,-0.994,-1.370807747,49,1.14,1.44,0.97,1.11,1.19,0.84,0.8,0.95,2.11,1.3,1.39,0.994,1.37,1.2
51,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.49,1.11,-1.64,-0.92,-1.42,-0.89,-0.33,-1.06,-1.99,-2.96,-1.65,-3.352,-4.540983607,50,1.49,1.11,1.64,0.92,1.42,0.89,0.33,1.06,1.99,2.96,1.65,3.352,4.54,1.8
52,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.61,0.56,-1.14,-0.45,-0.93,-0.77,-0.12,-1.01,-1.1,-1.66,-0.45,-1.791,-1.873623398,51,1.61,0.56,1.14,0.45,0.93,0.77,0.12,1.01,1.1,1.66,0.45,1.791,1.87,1.04
53,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.62,4.25,-3.77,-3.85,-3.84,-3.13,-3.26,-3.54,-3.92,-3.91,-3.01,-4.139,-3.422733078,52,3.62,4.25,3.77,3.85,3.84,3.13,3.26,3.54,3.92,3.91,3.01,4.139,3.42,3.67
54,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.23,3.42,-3.6,-2.97,-2.83,-2.91,-3.27,-2.88,-1.24,-3.15,-3.22,-3.206,-3.181957187,53,3.23,3.42,3.6,2.97,2.83,2.91,3.27,2.88,1.24,3.15,3.22,3.206,3.18,3.01
55,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.87,2.08,-1.81,-2.39,-2,-1.63,-1.92,-2.01,-1.79,-1.96,-1.93,-2.56,-1.907358605,54,1.87,2.08,1.81,2.39,2,1.63,1.92,2.01,1.79,1.96,1.93,2.56,1.91,1.99
56,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.42,3.04,-2.96,-2.49,-2.36,-2.85,-2.76,-2.08,2.75,-1.99,-0.86,-1.751,-1.927369353,55,1.42,3.04,2.96,2.49,2.36,2.85,2.76,2.08,2.75,1.99,0.86,1.751,1.93,2.25
57,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.87,3.96,-2.51,-3.51,-5.2,-4.79,-3.07,-1.8,0.27,-1.93,-1.33,-2.489,-1.94769491,56,3.87,3.96,2.51,3.51,5.2,4.79,3.07,1.8,0.27,1.93,1.33,2.489,1.95,2.82
58,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.13,0.49,-0.69,-2.14,-0.48,-1.16,-0.7,-0.48,1.36,2.07,-0.91,-1.04,-0.113099499,57,1.13,0.49,0.69,2.14,0.48,1.16,0.7,0.48,1.36,2.07,0.91,1.04,0.11,0.98
59,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.75,1.63,-2.07,-0.34,-1.36,-0.8,-1.44,-1.05,-0.48,-1.07,-1.44,-2.147,-0.808681926,58,1.75,1.63,2.07,0.34,1.36,0.8,1.44,1.05,0.48,1.07,1.44,2.147,0.81,1.26
60,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Count number of cases for each backbone which have bais %age more than 3.5,8,9,8,7,8,6,3,5,9,8,8,9,5,
62,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Average of bais %age for each backbone,1.746610169,1.92779661,1.854745763,1.698474576,1.880677966,1.697966102,1.682542373,1.755084746,1.990677966,1.855423729,2.047118644,2.051338983,1.773396144,
63,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
66,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
71,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
72,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
73,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
78,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
79,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
81,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
82,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
83,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
